operator	time	order_ref	user_name	amount
ADMIN1	2018-04-12 12:45:34	hiifx_2018041212453468190	09099	10103.0
ADMIN2	2018-04-14 11:40:07	hiifx_2018041411400762842	hdhangdu	54934.0
ADMIN5	2018-04-03 14:09:07	hiifx_2018040314090740473	2mZm91m228	35177.0
ADMIN5	2018-04-11 22:03:42	hiifx_2018041122034270214	j9j999	17327.0
ADMIN3	2018-04-10 06:45:12	hiifx_2018041006451298003	eleells	92589.0
ADMIN4	2018-04-03 23:23:16	hiifx_2018040323231626791	8DDaan888	95898.0
ADMIN4	2018-04-05 07:03:06	hiifx_2018040507030645936	131770123	20893.0
ADMIN3	2018-04-05 12:06:28	hiifx_2018040512062892007	nijingjiodi	50470.0
ADMIN3	2018-04-12 03:58:24	hiifx_2018041203582422992	nniangao	11225.0
ADMIN2	2018-04-12 19:26:10	hiifx_2018041219261081733	00f1001	27824.0
ADMIN1	2018-04-10 04:43:05	hiifx_2018041004430525657	6xdxox666	12403.0
ADMIN3	2018-04-03 08:18:01	hiifx_2018040308180194093	edkder	33623.0
ADMIN4	2018-04-11 00:35:50	hiifx_2018041100355052284	r7zr0076	10073.0
ADMIN1	2018-04-13 17:02:29	hiifx_2018041317022943030	h88h88	71946.0
ADMIN4	2018-04-09 09:34:29	hiifx_2018040909342924856	jdrddjyr	26737.0
ADMIN2	2018-04-07 08:32:38	hiifx_2018040708323844124	2yyy720228	49869.0
ADMIN5	2018-04-05 06:29:36	hiifx_2018040506293675347	iiyueiiii	55663.0
ADMIN1	2018-04-05 08:06:38	hiifx_2018040508063889134	44hsh43	42384.0
ADMIN4	2018-04-07 10:08:40	hiifx_2018040710084046309	3jwanjin123	12837.0
ADMIN2	2018-04-04 16:54:59	hiifx_2018040416545916595	31e1234	62581.0
ADMIN1	2018-04-13 18:34:42	hiifx_2018041318344263725	cfcfjc	45055.0
ADMIN4	2018-04-07 00:13:46	hiifx_2018040700134616480	0nluqng0n	55115.0
ADMIN3	2018-04-10 21:26:17	hiifx_2018041021261725055	jjxjx82	89222.0
ADMIN1	2018-04-08 09:52:28	hiifx_2018040809522818854	lamltallp520	54444.0
